title  Photometry data for ATLAS2_551047062 from search centered on HS Hya using the atlas calibration catalog
Median of Right Ascension  156.15356, rms   0.00242
Median of Declination      -19.09218, rms   0.00233
Median of magcal_magdep         8.19, rms      0.28
Median of magcal_local_rms      0.25, rms      0.15
Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	NUMBER	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
2416280.582198	1903.452280	 8.12	 0.19	12.17	156.15537	-19.09285	-77.0	0.479	am02029	193	0	1349451776	559875	384	0.000700		16,17,18,19,21,22,28,30	7,8
2416309.503476	1903.531516	 8.29	 0.32	12.32	156.15423	-19.09244	-67.2	0.379	am02112	193	0	1349454848	1199981	320	0.000700		10,11,16,17,18,19,21,22,28,30	6,8
2416438.844656	1903.885876	 8.12	 0.31	12.24	156.15381	-19.09242	 51.8	0.155	am02388	193	0	1349451776	1427148	384	0.000700		16,17,18,19,21,22,28,30	7,8
2416443.929661	1903.899807	 8.14	 0.20	10.77	156.15354	-19.09190	-59.7	0.191	ac04255	190	16384	1349453824	10265	256	0.000700	14	11,16,17,18,19,21,22,28,30	8
2416454.944930	1903.929986	 8.30	 0.20	10.24	156.15332	-19.09217	 56.3	0.259	ac04312	190	0	1349451776	118054	384	0.000700		16,17,18,19,21,22,28,30	7,8
2416460.902073	1903.946307	 8.01	 0.46	10.91	156.15566	-19.09171	-82.9	0.284	ac04351	190	268451840	1349191680	27423	256	0.000700	14,28	11,16,17,19,21,22,28,30	8
2416465.848002	1903.959858	 8.11	 0.16	 9.85	156.15286	-19.09285	 66.5	0.317	ai01847	183	0	1349451776	157344	384	0.000700		16,17,18,19,21,22,28,30	7,8
2416467.851374	1903.965346	 8.17	 0.15	10.61	156.15357	-19.09139	 80.7	0.156	ai01864	183	0	1349453824	437755	256	0.000700		11,16,17,18,19,21,22,28,30	8
2416471.878201	1903.976379	 8.20	 0.16	 9.31	156.15433	-19.09307	-85.7	0.309	ai01882	183	0	1349451776	192340	384	0.000700		16,17,18,19,21,22,28,30	7,8
2416472.817158	1903.978951	 8.23	 0.15	12.32	156.15452	-19.09153	-87.7	0.113	am02426	193	128	1479475200	650394	392	0.000700	7	16,17,18,19,21,27,28,30	3,7,8
2416472.882482	1903.979130	 8.12	 0.20	12.18	156.15570	-19.09071	 76.2	0.336	ac04431	190	0	1349453824	205697	256	0.000700		11,16,17,18,19,21,22,28,30	8
2416475.887014	1903.987362	 8.06	 0.18	12.10	156.15691	-19.09136	 67.8	0.246	ac04446	190	128	1479477248	93860	264	0.000700	7	11,16,17,18,19,21,27,28,30	3,8
2416476.836924	1903.989964	 8.18	 0.21	 9.61	156.15044	-19.09406	 82.5	0.104	ai01912	200	0	1349453824	108221	256	0.000700		11,16,17,18,19,21,22,28,30	8
2416477.833018	1903.992693	 8.15	 0.18	12.31	156.15573	-19.09132	 80.7	0.141	am02434	193	0	1349451776	750645	384	0.000700		16,17,18,19,21,22,28,30	7,8
2416489.778691	1904.025352	 8.15	 0.16	11.78	156.15408	-19.09242	 45.5	0.109	am02441	193	0	1349453824	934379	256	0.000700		11,16,17,18,19,21,22,28,30	8
